Coord,AbsComplVal,RealComplVal,ImagComplVal
0,0.219309549325918,0.215849029383453,-0.0388056044890219
0.25,0.183532551606071,-0.0595585546973594,0.173600046259777
0.5,0.172206892948139,0.171901790834581,-0.0102463792002703
0.75,0.00384487116888536,-0.000193132096495208,0.00384001748676087
1,0.240636903976262,0.214557573164726,0.108954886778629
1.25,0.208347392674052,-0.150746876504373,-0.143819384153356
1.5,0.234775973243643,0.226030372965361,0.0634825023895539
1.75,0.104723621540074,0.100049803586429,-0.0309366079392273
2,0.203045555810953,-0.0819996189310013,0.18575133977915
2.25,0.130180480910099,-0.120604881021522,-0.0490042884222325
2.5,0.270837541595268,-0.102762919006542,0.250584828779844
2.75,0.108591050455071,-0.00904116830383129,-0.108214017181868
3,0.178367611904824,0.0647848254327307,0.166186435578481
3.25,0.172943804414253,-0.0224452124755115,-0.171481112435756
3.5,0.0113054799250284,-0.011292426621254,0.000543118162846897
3.75,0.297719189015631,0.152963002367551,0.255419332500165
4,0.235781558261925,0.0830786196937808,-0.220660114579409
4.25,0.166691657226138,-0.137407334565058,0.0943680719127111
4.5,0.384108302035841,-0.38157574681566,-0.0440356348305406
4.75,0.0876898139643047,0.047327957127257,0.0738211890127414
5,0.135079780928362,0.124821285900324,-0.0516351992524856
5.25,0.443092257939256,-0.290911552568448,-0.334217320957372
5.5,0.105480935882782,-0.0226122991669886,0.103028693872582
5.75,0.125674395974978,-0.0472399229924565,-0.11645790432316
6,0.241920374922441,0.0257884165143705,0.240541940992202
6.25,0.124141520639677,0.122527087796012,0.0199556985084391
6.5,0.0693601943939781,-0.0610410547820778,-0.032936699856874
6.75,0.0172794064947276,0.0156636710189651,0.00729570414830993
7,0.124273729630877,-0.108896736136987,-0.0598787168790362
7.25,0.145445410261917,-0.109467396724143,0.0957666769847232
7.5,0.0867999868051515,0.0683430017750963,-0.0535114176390765
7.75,0.0709847364061924,0.0682675584288844,-0.0194518191646816
8,0.264569594340286,0.195081558067773,0.178718370491771
8.25,0.0328237267765134,-0.0223043898613382,-0.0240813461503429
8.5,0.193994178473887,-0.186091447396493,-0.054806153738761
8.75,0.427182231852767,-0.340592727461848,0.257839588137296
9,0.156049855892906,-0.0550254944036185,0.146026547209177
9.25,0.0628458243322395,-0.0127397857216971,0.0615410066196837
9.5,0.119165228836032,-0.0365693092486227,-0.11341533134732
9.75,0.11647064484741,0.0166772185717781,-0.115270471031746
10,0.246382897747816,0.151729496524558,0.194120303386882
10.25,0.24710846895758,0.246446836719314,-0.0180707526573572
10.5,0.219580173405307,0.137370130416341,-0.171303531259872
