Coord,AbsComplVal,RealComplVal,ImagComplVal
0,0.0865836919190919,-0.0712441491084824,0.0492037287626511
0.25,0.155371630417398,0.0309649418190022,-0.152254773050654
0.5,0.131213584438072,0.0635916555327888,-0.114774152524365
0.75,0.276760449088747,-0.0175701051282439,0.276202167959608
1,0.111957171341395,-0.0212321396604028,0.109925449556541
1.25,0.22545096635009,-0.126056884684696,0.186916559062537
1.5,0.155979963441895,-0.103151554985053,0.117002161089017
1.75,0.217980715248294,-0.157005053685162,0.151211789677516
2,0.133111959104454,0.0195606245504273,0.131666911651421
2.25,0.0678744610884455,-0.0462670895902939,-0.0496618454035955
2.5,0.198315441468454,0.176776735291919,0.0898832586434121
2.75,0.102888685181462,0.0224804506566028,-0.100402743372111
3,0.0552332221584658,0.0193736521706462,-0.051723983137199
3.25,0.309904675062258,-0.279996187241972,-0.13282711603962
3.5,0.375634000326787,-0.367593507864004,0.0773040437347327
3.75,0.337703757029852,-0.238418350769631,0.239166296806984
4,0.34843011763195,-0.294070923411831,-0.186884560295192
4.25,0.0695225252448402,0.0691250987809694,0.00742308796530565
4.5,0.111666456391008,-0.0933060506465878,0.0613463804609634
4.75,0.247805847406514,-0.064639703784488,-0.23922676836741
5,0.0651931790417687,0.0618636716580934,-0.0205678565376106
5.25,0.386548656175737,-0.35380186511512,0.155705182419631
5.5,0.231141824259442,-0.0648897837107821,-0.221846475951165
5.75,0.0781567384022102,-0.0764804621298373,-0.0161001450328262
6,0.084132809657824,-0.0675951090569238,0.0500922238725956
6.25,0.153346266730807,0.0684075423715745,0.13724243391516
6.5,0.246441207950571,-0.100962410607143,0.224810721765068
6.75,0.189659797325612,0.0139848250006971,0.189143499468768
7,0.131070922207428,-0.111840737380965,0.0683464418268265
7.25,0.0956508639805431,-0.0571747515378406,-0.0766820420099162
7.5,0.138103035291776,-0.0791786810634963,-0.113151159171468
7.75,0.229043529926411,0.202904811313576,0.106257122805733
8,0.213734832515963,0.156491213761474,0.145578427818435
